raid_id,project_id,type,title,priority,status,owner,date_raised,target_date,impact,probability,mitigation_strategy,escalated
D-004,P-1003,Decision,Adopt Medallion architecture (Bronze/Silver/Gold),High,Approved,Data Architect,2025-12-03,2025-12-17,Foundational data layer design,,,false
D-005,P-1003,Decision,Freeze schema changes during UAT window,High,Approved,Project Lead,2026-02-14,2026-02-21,Prevents moving target during testing,,,false
R-010,P-1004,Risk,Terraform state file corruption after team member error,High,Resolved,Cloud Ops,2026-01-14,2026-02-07,Infra drift undetectable without state,High,Mitigate,false
R-011,P-1004,Risk,Cost overrun if reserved instance commitment made early,Medium,Under Review,Finance Lead,2026-02-07,2026-04-30,OPEX vs CAPEX trade-off,Low,Accept,false
A-007,P-1004,Action,Complete DR failover test for Prod environment,High,In Progress,Cloud Ops,2026-02-14,2026-03-21,Required for ISO 27001 audit,,,false
D-006,P-1004,Decision,Adopt AWS Landing Zone over manual account vending,Medium,Approved,Cloud Architect,2026-01-07,2026-01-21,Standardises governance at scale,,,false
R-012,P-1005,Risk,UX research insights not incorporated — design going ahead blind,High,In Progress,Product Lead,2026-01-21,2026-03-14,Poor adoption post-launch,High,Mitigate,false
R-013,P-1005,Risk,CMS vendor contract renewal delay blocking content authoring,Critical,Under Review,Procurement,2026-02-07,2026-03-01,Launch blocked if not resolved,High,Avoid,true
R-014,P-1005,Risk,Accessibility (WCAG 2.2 AA) gaps in component library,High,Open,Frontend Lead,2026-02-21,2026-04-15,Legal exposure and reputational risk,Medium,Mitigate,false
R-015,P-1005,Risk,SEO impact of URL restructure not assessed,Medium,Open,SEO Specialist,2026-02-14,2026-04-01,Traffic drop on cutover,Low,Mitigate,false
A-008,P-1005,Action,Run usability testing on prototype with 10 participants,High,In Progress,UX Lead,2026-01-28,2026-03-07,Validates redesign assumptions,,,false
A-009,P-1005,Action,Engage legal to review cookie consent implementation,Medium,Open,Product Lead,2026-02-21,2026-03-28,PECR compliance,,,false
I-004,P-1005,Issue,Build pipeline failures due to Node version mismatch,High,Resolved,Frontend Dev,2026-02-14,2026-02-21,Blocked frontend deployments for 2 days,,,false
I-005,P-1005,Issue,Third-party analytics SDK causing 2s page-load regression,Critical,In Progress,Frontend Lead,2026-02-28,2026-03-14,Violates Core Web Vitals target,,,true
D-007,P-1005,Decision,Headless CMS over monolith (Contentful selected),High,Approved,Product Lead,2025-12-10,2025-12-24,Architecture decision for content layer,,,false
D-008,P-1005,Decision,Soft launch to 10% of traffic before full cutover,High,Approved,Project Lead,2026-02-07,2026-02-14,Risk mitigation for go-live,,,false
R-016,P-1006,Risk,Alert fatigue causing SRE team to miss critical pages,High,In Progress,SRE Lead,2026-02-07,2026-03-14,Incident response SLA breach,High,Mitigate,false
A-010,P-1006,Action,Consolidate duplicate Prometheus alert rules,Medium,In Progress,SRE Engineer,2026-02-14,2026-03-07,Reduce noise to actionable alerts,,,false
I-006,P-1006,Issue,Gateway rate-limit config causing intermittent 429s in prod,High,Under Review,Platform Eng,2026-02-21,2026-03-07,Degraded API consumer experience,,,false
D-009,P-1006,Decision,Adopt OpenTelemetry over proprietary agent for tracing,Medium,Approved,SRE Lead,2026-01-28,2026-02-14,Vendor-neutral observability stack,,,false
